Plant ID,Length (px)
test_image_1_plant_1,576
test_image_1_plant_2,574
test_image_1_plant_3,0
test_image_1_plant_4,468
test_image_1_plant_5,553
test_image_2_plant_1,591
test_image_2_plant_2,2
test_image_2_plant_3,0
test_image_2_plant_4,418
test_image_2_plant_5,653
test_image_3_plant_1,0
test_image_3_plant_2,558
test_image_3_plant_3,946
test_image_3_plant_4,750
test_image_3_plant_5,364
test_image_4_plant_1,1239
test_image_4_plant_2,1487
test_image_4_plant_3,296
test_image_4_plant_4,511
test_image_4_plant_5,516
test_image_5_plant_1,1530
test_image_5_plant_2,236
test_image_5_plant_3,145
test_image_5_plant_4,381
test_image_5_plant_5,1140
test_image_6_plant_1,0
test_image_6_plant_2,0
test_image_6_plant_3,0
test_image_6_plant_4,14
test_image_6_plant_5,15
test_image_7_plant_1,0
test_image_7_plant_2,22
test_image_7_plant_3,0
test_image_7_plant_4,184
test_image_7_plant_5,0
test_image_8_plant_1,353
test_image_8_plant_2,304
test_image_8_plant_3,359
test_image_8_plant_4,368
test_image_8_plant_5,317
test_image_9_plant_1,0
test_image_9_plant_2,395
test_image_9_plant_3,0
test_image_9_plant_4,473
test_image_9_plant_5,413
test_image_10_plant_1,221
test_image_10_plant_2,273
test_image_10_plant_3,274
test_image_10_plant_4,338
test_image_10_plant_5,0
test_image_11_plant_1,0
test_image_11_plant_2,910
test_image_11_plant_3,0
test_image_11_plant_4,865
test_image_11_plant_5,909
